"Aerolínea","Fecha_del_viaje","Origen","Destino","Ruta","Hora_de_salida","Hora_de_llegada","Duración","Total_de_escalas","Información_adicional","Precio (S/)"
"VIVA Air Perú","2024-09-27","LIM","JUL","LIM-JUL","15:45","16:45","1.4","0","Clase business","501.5"
"VIVA Air Perú","2024-05-31","LIM","IQT","LIM-IQT","07:15","08:45","1.9","0","Cancelación gratuita","332.14"
"LATAM Perú","2024-11-09","LIM","IQT","LIM-IQT","16:00","17:45","1.8","0","Clase económica","323.8"
"JetSMART Perú","2024-02-24","AQP","TCQ","AQP-TCQ","07:00","07:45","0.8","0","Clase económica","192.29"
"VIVA Air Perú","2024-09-20","CUZ","JUL","CUZ-JUL","19:30","19:15","0.9","0","WiFi incluido","190.04"
"Sky Airline Perú","2024-11-05","LIM","TCQ","LIM-TCQ","16:15","17:15","1.6","0","Clase económica","206.64"
"VIVA Air Perú","2024-07-08","LIM","JUL","LIM-JUL","12:00","13:45","1.5","0","Solo equipaje de mano","190.05"
"VIVA Air Perú","2024-02-10","CUZ","JUL","CUZ-JUL","19:00","19:00","0.9","0","Clase business","446.66"
"Avianca Perú","2024-08-18","CUZ","AQP","CUZ-AQP","13:45","13:30","0.8","0","Incluye equipaje","265.95"
"Avianca Perú","2024-06-20","TRU","CIX","TRU-CIX","12:15","12:00","0.7","0","Asiento preferente","233.32"
"Sky Airline Perú","2024-09-11","LIM","IQT","LIM-IQT","18:30","19:30","1.8","0","WiFi incluido","277.14"
"LATAM Perú","2024-04-05","AQP","TCQ","AQP-TCQ","08:15","09:00","1","0","Clase económica","294.14"
"JetSMART Perú","2024-03-26","AQP","JUL","AQP-JUL","06:15","07:45","1","0","Asiento preferente","213.58"
"JetSMART Perú","2024-12-13","LIM","PIU","LIM-PIU","11:15","12:00","1.5","0","Cancelación gratuita","365.6"
"JetSMART Perú","2024-11-13","LIM","TRU","LIM-TRU","09:00","10:45","1.1","0","Solo equipaje de mano","148.4"
"LATAM Perú","2024-04-22","LIM","PCL","LIM-PCL","21:15","22:00","1.2","0","Clase económica","187.93"
"LATAM Perú","2024-04-22","LIM","PCL","LIM-PCL","06:15","07:15","1.2","0","Asiento preferente","290.37"
"Avianca Perú","2024-08-05","LIM","CUZ","LIM-CUZ","10:45","11:15","1.2","0","Clase económica","196.55"
"Avianca Perú","2024-04-07","LIM","PCL","LIM-PCL","10:15","11:45","1.1","0","Clase económica","232.86"
"JetSMART Perú","2024-12-11","CUZ","JUL","CUZ-JUL","07:30","07:45","0.7","0","Clase económica","183.28"
"Sky Airline Perú","2024-05-08","LIM","JUL","LIM-JUL","15:45","16:30","1.4","0","Cancelación gratuita","243.61"
"Sky Airline Perú","2024-02-29","CUZ","JUL","CUZ-JUL","21:15","21:30","0.8","0","Cancelación gratuita","232.59"
"LATAM Perú","2024-05-26","LIM","TPP","LIM-TPP","20:45","21:30","1.4","0","Asiento preferente","384.21"
"VIVA Air Perú","2024-04-13","LIM","AQP","LIM-AQP","07:45","08:45","1.3","0","Incluye snack","210.36"
"LATAM Perú","2024-06-09","TRU","PIU","TRU-PIU","08:00","09:30","1","0","Clase económica","226.15"
"LATAM Perú","2024-01-22","LIM","AQP","LIM-AQP","18:15","19:15","1.4","0","Cancelación gratuita","335.81"
"LATAM Perú","2024-11-12","LIM","IQT","LIM-IQT","20:30","21:15","1.9","0","Clase económica","275.61"
"VIVA Air Perú","2024-02-06","LIM","TRU","LIM-TRU","21:15","22:45","1","0","Solo equipaje de mano","120"
"Sky Airline Perú","2024-08-10","LIM","TRU","LIM-TRU","07:45","08:30","1.2","0","Solo equipaje de mano","179.13"
"Sky Airline Perú","2024-09-29","CUZ","AQP","CUZ-AQP","12:00","13:15","1","0","Incluye equipaje","256.38"
"Sky Airline Perú","2024-01-13","LIM","TRU","LIM-TRU","11:00","12:30","1","0","Solo equipaje de mano","185.13"
"Sky Airline Perú","2024-10-14","CUZ","JUL","CUZ-JUL","21:45","21:45","0.8","0","Incluye equipaje","133.59"
"VIVA Air Perú","2024-04-17","LIM","IQT","LIM-IQT","09:30","10:30","1.9","0","Clase económica","177.23"
"VIVA Air Perú","2024-09-25","LIM","PCL","LIM-PCL","14:15","15:15","1.1","0","Cancelación gratuita","176.77"
"Sky Airline Perú","2024-11-13","LIM","IQT","LIM-IQT","13:45","14:15","1.9","0","Clase business","549.32"
"LATAM Perú","2024-08-24","LIM","TCQ","LIM-TCQ","05:45","06:30","1.5","0","Cancelación gratuita","459.67"
"Sky Airline Perú","2024-03-26","CUZ","JUL","CUZ-JUL","18:45","18:45","0.8","0","Cancelación gratuita","260"
"VIVA Air Perú","2024-09-10","LIM","IQT","LIM-IQT","09:30","10:00","1.9","0","Solo equipaje de mano","194.81"
"Sky Airline Perú","2024-06-08","LIM","PIU","LIM-PIU","16:15","17:45","1.5","0","Solo equipaje de mano","214.9"
"LATAM Perú","2024-06-16","LIM","TRU","LIM-TRU","14:30","15:15","1.1","0","Solo equipaje de mano","246.91"
"Sky Airline Perú","2024-04-24","LIM","CIX","LIM-CIX","13:30","14:45","1.3","0","Incluye snack","252.57"
"Avianca Perú","2024-09-05","LIM","TPP","LIM-TPP","08:15","09:45","1.6","0","Clase business","641.19"
"LATAM Perú","2024-04-05","LIM","CUZ","LIM-CUZ","09:45","10:00","1.3","0","WiFi incluido","366.79"
"VIVA Air Perú","2024-08-04","LIM","AQP","LIM-AQP","17:30","18:30","1.3","1","Cancelación gratuita","297.05"
"VIVA Air Perú","2024-05-23","AQP","JUL","AQP-JUL","09:30","09:45","0.8","0","Asiento preferente","185.15"
"Avianca Perú","2024-02-11","LIM","TPP","LIM-TPP","11:15","12:15","1.5","0","Clase business","705"
"VIVA Air Perú","2024-03-14","AQP","TCQ","AQP-TCQ","16:00","16:15","0.9","0","Solo equipaje de mano","121.95"
"Sky Airline Perú","2024-01-05","CUZ","AQP","CUZ-AQP","09:15","09:30","0.9","0","Incluye equipaje","184.97"
"LATAM Perú","2024-05-11","LIM","JUL","LIM-JUL","08:15","09:15","1.2","0","Clase business","671.93"
"JetSMART Perú","2024-05-05","LIM","CIX","LIM-CIX","07:00","08:00","1.1","0","WiFi incluido","245.37"
"LATAM Perú","2024-01-01","AQP","TCQ","AQP-TCQ","07:00","07:00","0.8","0","WiFi incluido","196.92"
"Avianca Perú","2024-02-27","LIM","TCQ","LIM-TCQ","16:00","17:30","1.6","0","Incluye snack","290.76"
"VIVA Air Perú","2024-02-16","LIM","TRU","LIM-TRU","13:00","14:45","1.3","0","Solo equipaje de mano","166.01"
"LATAM Perú","2024-01-12","LIM","JUL","LIM-JUL","14:45","15:15","1.3","0","Asiento preferente","361.06"
"VIVA Air Perú","2024-05-15","CUZ","JUL","CUZ-JUL","09:00","09:00","0.8","0","Incluye equipaje","148.81"
"Avianca Perú","2024-08-27","LIM","PIU","LIM-PIU","17:15","18:00","1.5","0","Clase económica","243.83"
"Sky Airline Perú","2024-10-12","LIM","CUZ","LIM-CUZ","17:00","18:00","1.3","1","Cancelación gratuita","307.61"
"Avianca Perú","2024-03-03","CUZ","AQP","CUZ-AQP","21:00","22:30","1","0","Incluye equipaje","300.43"
"Avianca Perú","2024-06-13","LIM","IQT","LIM-IQT","14:15","15:00","1.8","0","Clase business","629.41"
"VIVA Air Perú","2024-10-14","TRU","PIU","TRU-PIU","06:45","07:30","1","0","Incluye snack","168.58"
"Sky Airline Perú","2024-02-23","CUZ","AQP","CUZ-AQP","16:00","17:30","1","0","Clase económica","225.56"
"Avianca Perú","2024-03-06","AQP","TCQ","AQP-TCQ","15:30","15:15","0.9","0","Clase business","486.06"
"JetSMART Perú","2024-11-03","TRU","CIX","TRU-CIX","10:00","11:00","1","0","Asiento preferente","220.8"
"VIVA Air Perú","2024-07-02","TRU","PIU","TRU-PIU","21:15","21:30","0.8","0","Incluye equipaje","211.37"
"JetSMART Perú","2024-04-20","AQP","JUL","AQP-JUL","20:30","20:00","0.8","0","Asiento preferente","242.34"
"JetSMART Perú","2024-04-02","LIM","TRU","LIM-TRU","09:15","10:15","1.1","0","Asiento preferente","193.5"
"Sky Airline Perú","2024-03-13","LIM","AQP","LIM-AQP","19:00","20:00","1.2","0","Clase business","453.47"
"VIVA Air Perú","2024-01-08","LIM","CIX","LIM-CIX","21:30","22:15","1.1","0","Solo equipaje de mano","120"
"Sky Airline Perú","2024-06-02","CUZ","JUL","CUZ-JUL","18:30","18:30","0.9","0","Clase business","496.4"
"Avianca Perú","2024-10-20","CUZ","JUL","CUZ-JUL","07:30","07:00","0.7","0","Incluye equipaje","206.39"
"Sky Airline Perú","2024-10-26","LIM","AQP","LIM-AQP","21:00","22:30","1.4","0","Incluye snack","289.74"
"Sky Airline Perú","2024-09-20","LIM","PIU","LIM-PIU","12:00","13:45","1.3","0","WiFi incluido","257.7"
"JetSMART Perú","2024-11-10","LIM","CUZ","LIM-CUZ","17:15","18:30","1.2","0","Cancelación gratuita","283.05"
"VIVA Air Perú","2024-11-26","AQP","JUL","AQP-JUL","13:30","14:15","1","0","Incluye snack","180"
"JetSMART Perú","2024-07-12","LIM","AQP","LIM-AQP","19:30","20:15","1.4","0","Incluye snack","308.99"
"JetSMART Perú","2024-08-12","LIM","PIU","LIM-PIU","21:45","22:30","1.3","0","Clase económica","187.4"
"VIVA Air Perú","2024-09-15","AQP","TCQ","AQP-TCQ","05:15","05:00","0.8","0","Clase business","428.65"
"JetSMART Perú","2024-02-07","LIM","TPP","LIM-TPP","07:15","08:00","1.4","0","WiFi incluido","238.85"
"JetSMART Perú","2024-03-16","LIM","PCL","LIM-PCL","07:30","08:45","1.3","0","Solo equipaje de mano","204.26"
"JetSMART Perú","2024-06-13","TRU","CIX","TRU-CIX","09:30","09:00","0.6","0","Clase business","348.77"
"JetSMART Perú","2024-12-18","LIM","CUZ","LIM-CUZ","19:00","20:45","1.2","0","Clase business","546.9"
"JetSMART Perú","2024-07-16","LIM","PCL","LIM-PCL","10:30","11:00","1.1","0","WiFi incluido","248.59"
"VIVA Air Perú","2024-08-18","LIM","AQP","LIM-AQP","08:00","09:15","1.2","0","Incluye snack","210.96"
"Sky Airline Perú","2024-01-05","LIM","PIU","LIM-PIU","14:00","15:45","1.3","0","Incluye equipaje","257.36"
"Avianca Perú","2024-09-17","LIM","PCL","LIM-PCL","19:45","20:45","1.3","0","Cancelación gratuita","340.8"
"JetSMART Perú","2024-03-09","LIM","CIX","LIM-CIX","15:15","16:15","1","0","Asiento preferente","278.32"
"VIVA Air Perú","2024-05-20","CUZ","AQP","CUZ-AQP","12:15","13:45","1.1","0","Incluye equipaje","147.87"
"VIVA Air Perú","2024-10-19","LIM","PIU","LIM-PIU","12:30","13:00","1.7","0","Clase business","579.46"
"LATAM Perú","2024-09-23","TRU","CIX","TRU-CIX","05:15","05:00","0.8","0","Incluye snack","226.82"
"JetSMART Perú","2024-05-28","AQP","TCQ","AQP-TCQ","19:00","20:30","1","0","Cancelación gratuita","211.64"
"VIVA Air Perú","2024-03-30","AQP","TCQ","AQP-TCQ","15:15","16:30","1","0","Solo equipaje de mano","147.85"
"VIVA Air Perú","2024-06-27","CUZ","AQP","CUZ-AQP","11:45","12:15","1","0","Asiento preferente","207.12"
"VIVA Air Perú","2024-02-18","LIM","CIX","LIM-CIX","11:00","12:00","1.2","0","Incluye equipaje","184.51"
"LATAM Perú","2024-09-13","LIM","PCL","LIM-PCL","17:15","18:00","1.2","0","WiFi incluido","336.59"
"Avianca Perú","2024-10-12","LIM","AQP","LIM-AQP","20:45","21:15","1.4","0","Clase business","666.95"
"LATAM Perú","2024-08-09","CUZ","JUL","CUZ-JUL","10:30","10:45","0.8","0","Incluye equipaje","251.7"
"Sky Airline Perú","2024-06-10","LIM","CIX","LIM-CIX","05:30","06:30","1.3","0","Asiento preferente","200.35"
"Avianca Perú","2024-02-23","CUZ","AQP","CUZ-AQP","19:00","19:45","0.9","0","Cancelación gratuita","343.26"
"JetSMART Perú","2024-06-13","LIM","PCL","LIM-PCL","18:30","19:00","1.2","0","Cancelación gratuita","225.53"
"Avianca Perú","2024-02-05","LIM","TRU","LIM-TRU","06:00","07:30","1","0","Asiento preferente","245.87"
"VIVA Air Perú","2024-09-17","LIM","JUL","LIM-JUL","09:15","10:15","1.5","0","Clase económica","162.88"
"VIVA Air Perú","2024-03-21","LIM","TCQ","LIM-TCQ","14:15","15:30","1.6","0","Cancelación gratuita","255.99"
"LATAM Perú","2024-08-24","LIM","AQP","LIM-AQP","11:00","12:30","1.2","0","Cancelación gratuita","385.78"
"Sky Airline Perú","2024-12-06","LIM","TCQ","LIM-TCQ","14:45","15:45","1.6","0","Cancelación gratuita","420.1"
"Avianca Perú","2024-12-07","LIM","JUL","LIM-JUL","10:30","11:00","1.6","0","Incluye equipaje","416.44"
"Sky Airline Perú","2024-07-08","LIM","AQP","LIM-AQP","18:45","19:30","1.3","0","Clase business","579.75"
"JetSMART Perú","2024-06-12","LIM","PCL","LIM-PCL","21:30","22:15","1.1","0","Cancelación gratuita","284.7"
